uops_generated harness — XED-driven prototype
logical_cpu_requested=0 pinned=yes current_cpu=0 bench_count=166 samples=31 iters=100000
empty_loop_median: thread_ns=26930 tsc=90304

iform                                   iclass      med_ns   med_tsc
VFMSUB132PD_YMM_YMM_YMM                 VFMSUB132PD     0.878     2.984
VFMSUB132PS_XMM_XMM_XMM                 VFMSUB132PS     0.877     2.983
VFMSUB132PS_YMM_YMM_YMM                 VFMSUB132PS     0.877     2.982
VFMSUB132SD_XMM_XMM_XMM                 VFMSUB132SD     0.877     2.982
VFMSUB132SS_XMM_XMM_XMM                 VFMSUB132SS     0.877     2.982
VFMSUB213PD_XMM_XMM_XMM                 VFMSUB213PD     0.877     2.982
VFMSUB213PD_YMM_YMM_YMM                 VFMSUB213PD     0.878     2.985
VFMSUB213PS_XMM_XMM_XMM                 VFMSUB213PS     0.877     2.982
VFMSUB213PS_YMM_YMM_YMM                 VFMSUB213PS     0.877     2.982
VFMSUB213SD_XMM_XMM_XMM                 VFMSUB213SD     0.877     2.982
VFMSUB213SS_XMM_XMM_XMM                 VFMSUB213SS     0.877     2.983
VFMSUB231PD_XMM_XMM_XMM                 VFMSUB231PD     0.877     2.982
VFMSUB231PD_YMM_YMM_YMM                 VFMSUB231PD     0.878     2.984
VFMSUB231PS_XMM_XMM_XMM                 VFMSUB231PS     0.877     2.982
VFMSUB231PS_YMM_YMM_YMM                 VFMSUB231PS     0.877     2.982
VFMSUB231SD_XMM_XMM_XMM                 VFMSUB231SD     0.877     2.982
VFMSUB231SS_XMM_XMM_XMM                 VFMSUB231SS     0.877     2.982
VFNMADD132PD_XMM_XMM_XMM                VFNMADD132PD     0.878     2.984
VFNMADD132PD_YMM_YMM_YMM                VFNMADD132PD     0.877     2.983
VFNMADD132PS_XMM_XMM_XMM                VFNMADD132PS     0.877     2.982
VFNMADD132PS_YMM_YMM_YMM                VFNMADD132PS     0.877     2.983
VFNMADD132SD_XMM_XMM_XMM                VFNMADD132SD     0.877     2.982
VFNMADD132SS_XMM_XMM_XMM                VFNMADD132SS     0.877     2.982
VFNMADD213PD_XMM_XMM_XMM                VFNMADD213PD     0.878     2.985
VFNMADD213PD_YMM_YMM_YMM                VFNMADD213PD     0.877     2.982
VFNMADD213PS_XMM_XMM_XMM                VFNMADD213PS     0.877     2.982
VFNMADD213PS_YMM_YMM_YMM                VFNMADD213PS     0.877     2.982
VFNMADD213SD_XMM_XMM_XMM                VFNMADD213SD     0.877     2.982
VFNMADD213SS_XMM_XMM_XMM                VFNMADD213SS     0.877     2.982
VFNMADD231PD_XMM_XMM_XMM                VFNMADD231PD     0.878     2.984
VFNMADD231PD_YMM_YMM_YMM                VFNMADD231PD     0.877     2.982
VFNMADD231PS_XMM_XMM_XMM                VFNMADD231PS     0.878     2.984
VFNMADD231PS_YMM_YMM_YMM                VFNMADD231PS     0.877     2.982
VFNMADD231SD_XMM_XMM_XMM                VFNMADD231SD     0.877     2.982
VFNMADD231SS_XMM_XMM_XMM                VFNMADD231SS     0.877     2.983
VFNMSUB132PD_XMM_XMM_XMM                VFNMSUB132PD     0.878     2.984
